"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2026,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2027,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2028,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2029,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2030,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2031,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
2032,"MA",2653.14048427108,2340.8293486019,51323.2556072183,44475.757623436,0,0,0,0
2033,"MA",2960.32332198065,2340.8293486019,60482.2048305069,44475.757623436,0,0,0,0
2034,"MA",3169.5474377447,2522.18757368592,68850.8587545904,48210.952030071,0,0,0,0
2035,"MA",3342.3873573498,2726.26336718428,77736.4195351135,53242.511704886,0,0,0,0
2036,"MA",3408.13986214163,2816.17461087015,81749.9952728704,55808.6555167875,0,0,0,0
2037,"MA",3466.40148596655,2895.78761439552,85669.2375766691,58296.5700875402,0,0,0,0
2038,"MA",3519.49459339393,2968.68423197877,89583.0101832822,60777.4142929605,0,0,0,0
2039,"MA",3569.8759711823,3038.05529127362,93642.5403179276,63342.6277717672,0,0,0,0
2040,"MA",3619.63337355316,3109.94580144342,98029.8269992023,66239.9341680507,0,0,0,0
2041,"MA",3639.76689813816,3137.53787772205,99924.1560780199,67423.5833315078,0,0,0,0
2042,"MA",3668.18012583268,3174.32897189653,102725.564888259,69069.2666629534,0,0,0,0
2043,"MA",3695.41396376392,3209.98211221912,105562.194875427,70742.5529552253,0,0,0,0
2044,"MA",3720.80687836269,3243.19245668601,108351.940127264,72375.8096045191,0,0,0,0
2045,"MA",3742.87841667519,3271.86706635976,110899.388180183,73847.9052283161,0,0,0,0
2046,"MA",3762.45217114529,3297.35353084641,113260.900347021,75207.5201887717,0,0,0,0
2047,"MA",3779.43908446399,3319.91482471689,115393.366843455,76453.5540417823,0,0,0,0
