State,Sale Year,Propulsion,Global Segment,Sales
North Carolina,2016,BEV,Car,573.9268640742063
North Carolina,2016,BEV,SUV,297.8319657509811
North Carolina,2016,PHEV,Car,752.2015748031496
North Carolina,2016,PHEV,SUV,282.10393700787404
North Dakota,2016,BEV,Car,0
North Dakota,2016,BEV,SUV,0
North Dakota,2016,PHEV,Car,20.89448818897638
North Dakota,2016,PHEV,SUV,7.836220472440945
Ohio,2016,BEV,Car,514.5551195148055
Ohio,2016,BEV,SUV,267.0217623974313
Ohio,2016,PHEV,Car,919.3574803149606
Ohio,2016,PHEV,SUV,344.7937007874016
Oklahoma,2016,BEV,Car,118.74348911880128
Oklahoma,2016,BEV,SUV,61.620406707099534
Oklahoma,2016,PHEV,Car,146.26141732283463
Oklahoma,2016,PHEV,SUV,54.85354330708661
Oregon,2016,BEV,Car,1523.8747770246164
Oregon,2016,BEV,SUV,790.7952194077774
Oregon,2016,PHEV,Car,898.4629921259842
Oregon,2016,PHEV,SUV,336.9574803149606
Pennsylvania,2016,BEV,Car,633.2986086336068
Pennsylvania,2016,BEV,SUV,328.64216910453086
Pennsylvania,2016,PHEV,Car,1128.3023622047244
Pennsylvania,2016,PHEV,SUV,423.155905511811
Rhode Island,2016,BEV,Car,59.37174455940064
Rhode Island,2016,BEV,SUV,30.810203353549767
